# ENG content_calendar rows 2026-09-19..2026-10-01 (status approved/pending), pulled 2026-09-25 ~4:05 PM CT from Supabase lasso-ops-portal (read-only)
# id | post_date | account | format | time_slot | slot_index | scheduled_at(UTC) | status | reject_reason(trunc) | source_media_asset_id
7c3f42fc-cbf0-46ff-be3a-82a53aa8b2f2 | 2026-09-19 | facebook | feed | evening | 0 | 2026-09-19 11:30 | approved | media_asset_review_required | 1ISLY8etTldUnYaiA-_NuQb4ih_3aVByx
82ffeb39-9581-4aea-a8ae-c8ddbdefbf62 | 2026-09-19 | facebook | feed | evening | 1 | 2026-09-19 22:30 | approved | media_asset_review_required | 1IeLs9KFJecJaeS9A9O5kpZhZftBjfBvK
9c20ac76-a560-4e52-8cde-30436925ca4d | 2026-09-19 | instagram | feed | evening | 0 | 2026-09-19 11:30 | pending | - | 1ISLY8etTldUnYaiA-_NuQb4ih_3aVByx
df8e6793-5216-40c7-b1a0-9cff8bb3f6e8 | 2026-09-19 | instagram | feed | evening | 1 | 2026-09-19 22:30 | pending | RESTORED 2026-09-05 (AUD-001) | 1IeLs9KFJecJaeS9A9O5kpZhZftBjfBvK
258f1572-5141-4518-ad98-ca4eed473e24 | 2026-09-19 | instagram | story | early_morning | 0 | 2026-09-19 16:30 | approved | media_asset_review_required | 1ISLY8etTldUnYaiA-_NuQb4ih_3aVByx
8b7da4b2-9d71-45d6-952a-c5b601d14c60 | 2026-09-19 | instagram | story | early_morning | 1 | 2026-09-19 16:30 | approved | media_asset_review_required | 1IeLs9KFJecJaeS9A9O5kpZhZftBjfBvK
7d27c79d-3e66-4dbc-a57a-2a67089ce088 | 2026-09-20 | facebook | feed | evening | 0 | 2026-09-20 11:30 | approved | media_asset_review_required | 1JJ8Ij1KX77-G4lvWY_mPvun4tbpFTkmb
7df9bb93-bbfb-4543-bd6c-0cbd698d0b4d | 2026-09-20 | facebook | feed | evening | 1 | 2026-09-20 22:30 | approved | media_asset_review_required | 1J_xVfhYww0Nene2KBR-lU--p0_f8EVHH
0d3fd8ff-04d2-4472-86b8-943344ec0373 | 2026-09-20 | instagram | feed | evening | 0 | 2026-09-20 11:30 | approved | media_asset_review_required | 1JJ8Ij1KX77-G4lvWY_mPvun4tbpFTkmb
089e7d66-6335-42f8-8e1e-bf852b050f7d | 2026-09-20 | instagram | feed | evening | 1 | 2026-09-20 22:30 | approved | media_asset_review_required | 1J_xVfhYww0Nene2KBR-lU--p0_f8EVHH
c896c7fb-42e9-4964-bf74-9d442d0a2982 | 2026-09-20 | instagram | story | early_morning | 0 | 2026-09-20 16:30 | approved | media_asset_review_required | 1JJ8Ij1KX77-G4lvWY_mPvun4tbpFTkmb
7874bc11-84f5-4064-bca6-d8f34d0f47a0 | 2026-09-20 | instagram | story | early_morning | 1 | 2026-09-20 16:30 | approved | media_asset_review_required | 1J_xVfhYww0Nene2KBR-lU--p0_f8EVHH
3c7aee8d-cf1c-4de1-9cb5-dfc75594729e | 2026-09-21 | facebook | feed | evening | 0 | 2026-09-21 11:30 | approved | media_asset_review_required | 1JbkMsrK0NJ57hTD3EaFJ2G_L2TF3r9ve
